"batch_id","index","attempt","status","timestamp","source_relpath","corpus","source_ai","reference_png","source_size_bytes","source_sha256_before","source_hash_preverified","scale_mode","calculated_scale_percent","applied_scale_percent","s_raw","artboards_before","visible_bounds_before","visible_width_before_pt","visible_height_before_pt","page_items_before","layers_before","stroke_widths_original","stroked_objects","stroke_widths_before_scale","stroke_widths_after_scale","stroke_mismatch_count","final_visible_bounds","final_visible_width_pt","final_visible_height_pt","final_center_x","final_center_y","final_artboard","layer_state_match","item_state_match","item_structure_match","item_geometry_match_after_reopen","ruler_units_pixels_after_reopen","output_ai","output_png","audit_json","comment"
"297_316_20260727_152907","297","1","OK","2026-07-27T15:29:07","Корпус 2.3/POZD_WEB_K2-3_s13_et4_11.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et4_11.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et4_11.png","181854","f3d81fb858956233c11ced44a3410e3f72f6ecb7776ad5dcd3820cd84f322762","true","calculated","200","200","1.880728302","1","[735.562988,785.346448,1184.437012,295.653552]","448.874024","489.692896","2076","10","[{""width_pt"":0.75,""count"":929},{""width_pt"":1,""count"":94}]","1023","[{""width_pt"":0.75,""count"":1023}]","[{""width_pt"":0.75,""count"":1023}]","0","[151.750976,1089.067896,1048.249024,110.932104]","896.498048","978.135792","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_11.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_11.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\297_POZD_WEB_K2-3_s13_et4_11_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.880728302."
"297_316_20260727_152907","298","1","OK","2026-07-27T15:29:36","Корпус 2.3/POZD_WEB_K2-3_s13_et4_2.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et4_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et4_2.png","153899","5fa9fed2250889bf6b8418e4f21b89007d9b11ffa89311c01d5e27c4d3e61dad","true","calculated","200","200","2.076749297","1","[730.018701,735.965554,1189.981299,344.034446]","459.962598","391.931108","1590","10","[{""width_pt"":0.75,""count"":707}]","707","[{""width_pt"":0.75,""count"":707}]","[{""width_pt"":0.75,""count"":707}]","0","[140.412401,991.556107,1059.587599,208.443892]","919.175198","783.112215","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\298_POZD_WEB_K2-3_s13_et4_2_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=2.076749297."
"297_316_20260727_152907","299","1","OK","2026-07-27T15:30:01","Корпус 2.3/POZD_WEB_K2-3_s13_et4_3.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et4_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et4_3.png","160778","ece2018de5716ffd2dfcd59d22549b774ad7f83ae67a24ac12ba92cbc1d48e49","true","calculated","200","200","2.013175507","1","[715.920275,736.090556,1205.079725,343.909444]","489.15945","392.181112","1659","11","[{""width_pt"":0.75,""count"":738},{""width_pt"":1,""count"":82}]","820","[{""width_pt"":0.75,""count"":820}]","[{""width_pt"":0.75,""count"":820}]","0","[111.215551,991.556112,1088.784449,208.443888]","977.568898","783.112224","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_3.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_3.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\299_POZD_WEB_K2-3_s13_et4_3_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=2.013175507."
"297_316_20260727_152907","300","1","OK","2026-07-27T15:30:29","Корпус 2.3/POZD_WEB_K2-3_s13_et4_5.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et4_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et4_5.png","197969","687e62f43beeb59b19f9e9b0b3538a283620a0b21b44a10eafc96db3f68d01e4","true","calculated","150","150","1.589857617","1","[715.987205,855.145669,1204.012795,224.854331]","488.02559","630.291338","2612","11","[{""width_pt"":0.75,""count"":1163},{""width_pt"":1,""count"":125}]","1288","[{""width_pt"":0.75,""count"":1288}]","[{""width_pt"":0.75,""count"":1288}]","0","[234.168307,1072.343504,965.831693,127.656496]","731.663386","944.687008","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х150_POZD_WEB_K2-3_s13_et4_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х150_POZD_WEB_K2-3_s13_et4_5.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\300_POZD_WEB_K2-3_s13_et4_5_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.589857617."
"297_316_20260727_152907","301","1","OK","2026-07-27T15:31:03","Корпус 2.3/POZD_WEB_K2-3_s13_et4_6.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et4_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et4_6.png","205362","80a7986a41188bf3e0020923181816960119bf1ad32e4e8802019923e91d586e","true","calculated","170","170","1.658399851","1","[715.987205,830.133843,1204.012795,250.866157]","488.02559","579.267686","2619","11","[{""width_pt"":0.75,""count"":1168},{""width_pt"":1,""count"":124}]","1292","[{""width_pt"":0.75,""count"":1292}]","[{""width_pt"":0.75,""count"":1292}]","0","[185.440748,1091.902533,1014.559252,108.097467]","829.118504","983.805066","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s13_et4_6.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s13_et4_6.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\301_POZD_WEB_K2-3_s13_et4_6_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.658399851."
"297_316_20260727_152907","302","1","OK","2026-07-27T15:31:36","Корпус 2.3/POZD_WEB_K2-3_s13_et4_7.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et4_7.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et4_7.png","161087","69583df9f55a79807b50104ad97d91be69874f05ba17aa2355416b64fb6c7c04","true","calculated","200","200","2.07580521","1","[730.018701,736.090557,1190.106299,343.909443]","460.087598","392.181114","1658","10","[{""width_pt"":0.75,""count"":738},{""width_pt"":1,""count"":82}]","820","[{""width_pt"":0.75,""count"":820}]","[{""width_pt"":0.75,""count"":820}]","0","[140.412401,991.556114,1059.587599,208.443886]","919.175198","783.112228","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_7.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_7.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\302_POZD_WEB_K2-3_s13_et4_7_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=2.07580521."
"297_316_20260727_152907","303","1","OK","2026-07-27T15:32:02","Корпус 2.3/POZD_WEB_K2-3_s13_et4_8.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et4_8.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et4_8.png","221839","b53ca85f3c9a7dff7d1d5b954f281a2460ece067ac47ec2d330069b16bcca500","true","calculated","150","150","1.511985762","1","[647.830708,812.484253,1272.044292,267.640747]","624.213584","544.843506","3101","11","[{""width_pt"":0.75,""count"":1376},{""width_pt"":1,""count"":150}]","1526","[{""width_pt"":0.75,""count"":1526}]","[{""width_pt"":0.75,""count"":1526}]","0","[132.121062,1008.351379,1067.878938,191.648621]","935.757876","816.702758","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х150_POZD_WEB_K2-3_s13_et4_8.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х150_POZD_WEB_K2-3_s13_et4_8.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\303_POZD_WEB_K2-3_s13_et4_8_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.511985762."
"297_316_20260727_152907","304","1","OK","2026-07-27T15:32:40","Корпус 2.3/POZD_WEB_K2-3_s13_et4_9.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et4_9.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et4_9.png","168197","0a45a8a4c70313a15add16b665b3a22cba0ef1270534d40f324e0dfca3baa88e","true","calculated","200","200","2.053160624","1","[763.909452,775.083661,1156.090548,304.791339]","392.181096","470.292322","1777","10","[{""width_pt"":0.75,""count"":792},{""width_pt"":1,""count"":86}]","878","[{""width_pt"":0.75,""count"":878}]","[{""width_pt"":0.75,""count"":878}]","0","[208.443904,1069.792323,991.556096,130.207677]","783.112192","939.584646","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_9.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et4_9.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\304_POZD_WEB_K2-3_s13_et4_9_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=2.053160624."
"297_316_20260727_152907","305","1","OK","2026-07-27T15:33:07","Корпус 2.3/POZD_WEB_K2-3_s13_et5_5.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et5_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et5_5.png","194827","a4142a3f97bc3af3d90b85c7b5ec8b7603bd9fa984690b097e1cc7cb695e9f8c","true","calculated","170","170","1.637416894","1","[730.018701,855.145668,1190.106299,224.854332]","460.087598","630.291336","2592","10","[{""width_pt"":0.75,""count"":1154},{""width_pt"":1,""count"":126}]","1280","[{""width_pt"":0.75,""count"":1280}]","[{""width_pt"":0.75,""count"":1280}]","0","[209.294291,1135.272635,990.705709,64.727365]","781.411418","1070.54527","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s13_et5_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s13_et5_5.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\305_POZD_WEB_K2-3_s13_et5_5_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.637416894."
"297_316_20260727_152907","306","1","OK","2026-07-27T15:33:39","Корпус 2.3/POZD_WEB_K2-3_s13_et5_7.ai","Корпус 2.3","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et5_7.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.3\POZD_WEB_K2-3_s13_et5_7.png","160348","d62dbdbab3fe87ebf358cd6f0483e6593b91ad5f1fe16d5bd03a10a95b88c5c6","true","calculated","200","200","2.075805226","1","[730.018701,736.090554,1190.106299,343.909446]","460.087598","392.181108","1626","10","[{""width_pt"":0.75,""count"":725},{""width_pt"":1,""count"":79}]","804","[{""width_pt"":0.75,""count"":804}]","[{""width_pt"":0.75,""count"":804}]","0","[140.412401,991.556108,1059.587599,208.443892]","919.175198","783.112216","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et5_7.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s13_et5_7.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\306_POZD_WEB_K2-3_s13_et5_7_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=2.075805226."
