"batch_id","index","status","source_relpath","source_ai","visible_left","visible_top","visible_right","visible_bottom","visible_width","visible_height","page_items","root_items","top_layers","total_layers","nested_layers","empty_layers","duplicate_sibling_names","max_layer_depth","hidden_layers","locked_layers","comment"
"081_090_20260727_114530","81","OK","Корпус 2.1/POZD_WEB_K2-1_s3_et6_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et6_1.ai","134.700781","755.111221","708.299219","-158.236221","573.598437","913.347441","3518","1709","13","13","0","0","0","0","0","12","Read-only preflight completed."
"081_090_20260727_114530","82","OK","Корпус 2.1/POZD_WEB_K2-1_s3_et6_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et6_2.ai","134.700783","555.222273","708.299217","40.777727","573.598433","514.444545","2644","1283","14","14","0","0","0","0","0","13","Read-only preflight completed."
"081_090_20260727_114530","83","OK","Корпус 2.1/POZD_WEB_K2-1_s3_et6_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et6_4.ai","193.728346","755.473257","648.146654","-159.348257","454.418307","914.821514","3514","1706","14","14","0","0","0","0","0","13","Read-only preflight completed."
"081_090_20260727_114530","84","OK","Корпус 2.1/POZD_WEB_K2-1_s3_et6_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s3_et6_5.ai","224.909443","530.040354","617.090557","66.959646","392.181113","463.080709","1792","861","13","13","0","0","0","0","0","12","Read-only preflight completed."
"081_090_20260727_114530","85","OK","Корпус 2.1/POZD_WEB_K2-1_s4_et1_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s4_et1_1.ai","178.63779","546.464567","664.362211","50.535433","485.724422","495.929134","2131","1029","10","10","0","0","0","0","0","0","Read-only preflight completed."
"081_090_20260727_114530","86","OK","Корпус 2.1/POZD_WEB_K2-1_s4_et1_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s4_et1_2.ai","224.909444","526.122047","617.090556","70.002953","392.181112","456.119095","1778","858","10","10","0","0","0","0","0","0","Read-only preflight completed."
"081_090_20260727_114530","87","OK","Корпус 2.1/POZD_WEB_K2-1_s4_et1_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s4_et1_3.ai","271.681099","523.287402","570.318901","72.837598","298.637802","450.449803","1385","676","10","10","0","0","0","0","0","0","Read-only preflight completed."
"081_090_20260727_114530","88","OK","Корпус 2.1/POZD_WEB_K2-1_s4_et1_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s4_et1_4.ai","122.090264","599.472447","721.034736","-2.472447","598.944472","601.944894","4501","2207","16","16","0","0","0","0","0","0","Read-only preflight completed."
"081_090_20260727_114530","89","OK","Корпус 2.1/POZD_WEB_K2-1_s4_et1_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s4_et1_5.ai","148.735931","571.125971","694.389069","25.874029","545.653138","545.251942","3755","1847","17","17","0","0","0","0","0","0","Read-only preflight completed."
"081_090_20260727_114530","90","OK","Корпус 2.1/POZD_WEB_K2-1_s4_et2,4_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s4_et2,4_2.ai","224.909453","526.122047","617.10005","70.002953","392.190597","456.119095","1706","829","10","10","0","0","0","0","0","0","Read-only preflight completed."
