"index","corpus","source_relpath","status","width","height","s_raw","scale_percent","page_items","root_items","top_layers","total_layers","nested_layers","empty_layers","duplicate_sibling_names","max_layer_depth","error"
"0","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et1_1.ai","OK","549.485868","516.905512","1.654498408","170","4718","2304","16","16","0","0","0","0",""
"1","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et1_2.ai","OK","460.087599","516.905512","1.80810794","170","2411","1166","11","11","0","0","0","0",""
"2","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et1_3.ai","OK","460.087599","386.511797","2.090973641","200","1676","814","11","11","0","0","0","0",""
"3","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et1_4.ai","OK","460.910603","391.614168","2.075451799","200","1666","813","11","11","0","0","0","0",""
"4","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et1_5.ai","OK","987.313623","454.418307","1.083748846","110","4689","2287","16","16","0","0","0","0",""
"5","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et1_6.ai","OK","499.754567","386.513417","2.006270678","200","3253","1596","15","15","0","0","0","0",""
"6","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et2,4_3.ai","OK","460.087599","573.598431","1.716429451","170","2454","1191","10","10","0","0","0","0",""
"7","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et2,4_5.ai","OK","885.409449","454.418307","1.208480439","120","3534","1723","10","10","0","0","0","0",""
"8","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et2,6_4.ai","OK","460.087599","392.181102","2.075805239","200","1660","805","10","10","0","0","0","0",""
"9","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et2_1.ai","OK","448.874018","544.843504","1.783003009","170","2394","1160","14","14","0","0","0","0",""
"10","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et2_2.ai","OK","488.025591","516.905513","1.755590891","170","2452","1185","14","14","0","0","0","0",""
"11","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et2_6.ai","OK","397.850394","573.598442","1.845807138","170","2672","1297","10","10","0","0","0","0",""
"12","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et3,5_1.ai","OK","448.874016","516.905512","1.830553323","170","2340","1133","10","10","0","0","0","0",""
"13","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et3,5_2.ai","OK","460.087599","516.905513","1.808107939","170","2396","1157","10","10","0","0","0","0",""
"14","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et3,5_3.ai","OK","460.087599","573.598416","1.716429473","170","2456","1192","10","10","0","0","0","0",""
"15","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et3,5_4.ai","OK","460.087599","392.181108","2.075805223","200","1651","805","10","10","0","0","0","0",""
"16","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et3,5_5.ai","OK","885.409449","454.418307","1.208480439","120","3524","1721","10","10","0","0","0","0",""
"17","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et3,5_6.ai","OK","397.850394","573.598401","1.845807204","170","2674","1299","10","10","0","0","0","0",""
"18","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et4_1.ai","OK","448.624015","516.655511","1.831506258","170","2330","1129","10","10","0","0","0","0",""
"19","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et4_2.ai","OK","460.087599","544.843504","1.76114067","170","2439","1180","14","14","0","0","0","0",""
"20","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et4_4.ai","OK","488.025591","392.181088","2.015512878","200","1704","828","14","14","0","0","0","0",""
"21","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et4_6.ai","OK","425.788386","573.598414","1.784223776","170","2696","1310","13","13","0","0","0","0",""
"22","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et6_1.ai","OK","476.812009","544.843504","1.729978547","170","2461","1191","13","13","0","0","0","0",""
"23","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et6_2.ai","OK","488.025591","516.905512","1.755590893","170","2443","1179","13","13","0","0","0","0",""
"24","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et6_3.ai","OK","488.025591","573.598409","1.666575265","170","2465","1198","13","13","0","0","0","0",""
"25","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et6_5.ai","OK","941.285433","454.418307","1.136743396","110","3653","1783","13","13","0","0","0","0",""
"26","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et6_6.ai","OK","425.788386","573.598425","1.784223759","170","2725","1324","13","13","0","0","0","0",""
"27","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et1_1.ai","OK","489.549843","573.031476","1.664801667","170","4664","2283","16","16","0","0","0","0",""
"28","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et1_2.ai","OK","489.549845","398.077175","1.997414056","200","3228","1571","15","15","0","0","0","0",""
"29","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et1_3.ai","OK","510.102333","397.850385","1.957319184","200","1979","960","10","10","0","0","0","0",""
"30","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et1_4.ai","OK","470.292323","386.51182","2.068163477","200","1692","821","10","10","0","0","0","0",""
"31","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et1_5.ai","OK","470.292323","392.181098","2.053160617","200","1607","783","11","11","0","0","0","0",""
"32","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et1_6.ai","OK","494.228347","569.346457","1.662256585","170","2544","1234","11","11","0","0","0","0",""
"33","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et1_7.ai","OK","573.5984","444.213583","1.74682869","170","2405","1167","11","11","0","0","0","0",""
"34","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et1_8.ai","OK","635.835624","484.023612","1.589441311","150","2756","1339","10","10","0","0","0","0",""
"35","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et2,4_1.ai","OK","387.645669","573.598396","1.865416653","200","2453","1199","10","10","0","0","0","0",""
"36","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et2,4_4.ai","OK","470.292323","386.511798","2.068163535","200","1732","836","10","10","0","0","0","0",""
"37","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et2,4_8.ai","OK","573.71323","464.793034","1.707548159","170","2673","1300","10","10","0","0","0","0",""
"38","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et2,6_2.ai","OK","387.708674","397.860017","2.245082433","200","1683","817","10","10","0","0","0","0",""
"39","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et2,6_3.ai","OK","510.102409","397.850384","1.95731904","200","1813","877","10","10","0","0","0","0",""
"40","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et2,6_5.ai","OK","470.292323","392.181112","2.05316058","200","1699","822","10","10","0","0","0","0",""
"41","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et2_6.ai","OK","494.228364","692.653549","1.507052334","150","3200","1557","10","10","0","0","0","0",""
"42","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et2_7.ai","OK","573.5984","444.213583","1.74682869","170","2302","1115","10","10","0","0","0","0",""
"43","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et2_9.ai","OK","628.622336","433.058031","1.689982651","170","2822","1372","10","10","0","0","0","0",""
"44","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et3,5_1.ai","OK","387.645669","573.598396","1.865416653","200","2467","1205","10","10","0","0","0","0",""
"45","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et3,5_2.ai","OK","387.657679","397.972008","2.244914164","200","1689","818","10","10","0","0","0","0",""
"46","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et3,5_3.ai","OK","509.976967","397.8504","1.957559713","200","1812","879","10","10","0","0","0","0",""
"47","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et3,5_4.ai","OK","470.292323","386.511818","2.068163482","200","1711","828","10","10","0","0","0","0",""
"48","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et3,5_5.ai","OK","470.292323","392.181114","2.053160575","200","1689","819","10","10","0","0","0","0",""
"49","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et3,5_6.ai","OK","494.228352","692.653571","1.507052328","150","3200","1557","10","10","0","0","0","0",""
"50","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et3,5_7.ai","OK","573.598397","444.213583","1.746828695","170","2292","1111","10","10","0","0","0","0",""
"51","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et3,5_8.ai","OK","576.553082","464.766343","1.703386554","170","2794","1355","10","10","0","0","0","0",""
"52","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et3,5_9.ai","OK","628.705381","433.025463","1.68993458","170","2770","1346","10","10","0","0","0","0",""
"53","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et4_2.ai","OK","415.619681","397.958032","2.168120967","200","1747","846","14","14","0","0","0","0",""
"54","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et4_3.ai","OK","538.040366","397.850387","1.905824373","200","1854","898","13","13","0","0","0","0",""
"55","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et4_5.ai","OK","498.230315","392.181102","1.994765247","200","1756","851","13","13","0","0","0","0",""
"56","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et4_6.ai","OK","494.228359","720.591524","1.477548663","150","3227","1573","13","13","0","0","0","0",""
"57","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et4_7.ai","OK","573.598427","472.151575","1.694359264","170","2352","1140","13","13","0","0","0","0",""
"58","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et4_9.ai","OK","628.590522","462.412065","1.63550436","170","2863","1390","14","14","0","0","0","0",""
"59","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et6_1.ai","OK","415.583662","573.598396","1.805996906","170","2467","1201","13","13","0","0","0","0",""
"60","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et6_4.ai","OK","498.230315","386.511814","2.009341426","200","1775","859","13","13","0","0","0","0",""
"61","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et6_6.ai","OK","522.166368","692.653565","1.466181428","150","3251","1584","14","14","0","0","0","0",""
"62","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et6_7.ai","OK","573.598397","472.151575","1.694359309","170","2383","1152","13","13","0","0","0","0",""
"63","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et6_8.ai","OK","573.723592","492.719026","1.658437763","170","2728","1325","13","13","0","0","0","0",""
"64","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s2_et6_9.ai","OK","628.590534","460.937992","1.638117416","170","2812","1365","13","13","0","0","0","0",""
"65","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et1,3,5_5.ai","OK","573.598418","485.03248","1.671709519","170","2713","1318","10","10","0","0","0","0",""
"66","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et1_2.ai","OK","573.598431","626.746693","1.470619079","150","5270","2574","15","15","0","0","0","0",""
"67","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et1_3.ai","OK","573.598427","586.936654","1.519674608","150","4449","2163","15","15","0","0","0","0",""
"68","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et1_4.ai","OK","454.418307","987.313623","1.083748846","110","5149","2515","16","16","0","0","0","0",""
"69","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et2,4_1.ai","OK","573.59841","885.409449","1.208480439","120","3418","1663","10","10","0","0","0","0",""
"70","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et2,4_5.ai","OK","392.181116","435.142717","2.134474645","200","1724","828","10","10","0","0","0","0",""
"71","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et2,6_3.ai","OK","573.598398","485.03248","1.671709548","170","2630","1278","10","10","0","0","0","0",""
"72","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et2_2.ai","OK","573.598449","485.03248","1.671709474","170","2722","1320","10","10","0","0","0","0",""
"73","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et2_4.ai","OK","454.418307","885.409449","1.208480439","120","3489","1696","10","10","0","0","0","0",""
"74","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et3,5_1.ai","OK","573.598408","885.409449","1.208480439","120","3422","1665","10","10","0","0","0","0",""
"75","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et3,5_2.ai","OK","573.598418","485.03248","1.671709519","170","2713","1318","10","10","0","0","0","0",""
"76","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et3,5_3.ai","OK","573.598425","485.03248","1.671709509","170","2636","1280","10","10","0","0","0","0",""
"77","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et3,5_4.ai","OK","454.418308","885.409449","1.208480439","120","3489","1696","10","10","0","0","0","0",""
"78","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et4_2.ai","OK","573.598427","512.970473","1.625548903","170","2708","1315","13","13","0","0","0","0",""
"79","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et4_3.ai","OK","573.598452","512.970473","1.625548867","170","2655","1291","13","13","0","0","0","0",""
"80","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et4_4.ai","OK","454.418307","913.347441","1.171514751","120","3449","1675","13","13","0","0","0","0",""
"81","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et6_1.ai","OK","573.598437","913.347441","1.171514751","120","3518","1709","13","13","0","0","0","0",""
"82","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et6_2.ai","OK","573.598433","514.444545","1.623218327","170","2644","1283","14","14","0","0","0","0",""
"83","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et6_4.ai","OK","454.418307","914.821514","1.169627062","120","3514","1706","14","14","0","0","0","0",""
"84","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s3_et6_5.ai","OK","392.181113","463.080709","2.069085879","200","1792","861","13","13","0","0","0","0",""
"85","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et1_1.ai","OK","485.724422","495.929134","1.796575272","170","2131","1029","10","10","0","0","0","0",""
"86","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et1_2.ai","OK","392.181112","456.119095","2.084816018","200","1778","858","10","10","0","0","0","0",""
"87","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et1_3.ai","OK","298.637802","450.449803","2.375403414","200","1385","676","10","10","0","0","0","0",""
"88","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et1_4.ai","OK","598.944472","601.944894","1.468515555","150","4501","2207","16","16","0","0","0","0",""
"89","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et1_5.ai","OK","545.653138","545.251942","1.616565328","170","3755","1847","17","17","0","0","0","0",""
"90","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et2,4_2.ai","OK","392.190597","456.119095","2.084790807","200","1706","829","10","10","0","0","0","0",""
"91","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et2,6_4.ai","OK","462.355315","573.598419","1.712215006","170","2540","1239","10","10","0","0","0","0",""
"92","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et2_1.ai","OK","454.418308","885.409449","1.208480439","120","3906","1904","10","10","0","0","0","0",""
"93","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et2_3.ai","OK","616.118112","709.661388","1.33349878","120","3405","1660","10","10","0","0","0","0",""
"94","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et2_5.ai","OK","448.874016","601.944854","1.696327149","170","2867","1402","10","10","0","0","0","0",""
"95","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s4_et2_6.ai","OK","457.819882","601.944867","1.679672131","170","2823","1379","10","10","0","0","0","0",""
