"batch_id","index","attempt","status","timestamp","source_relpath","corpus","source_ai","reference_png","source_size_bytes","source_sha256_before","source_hash_preverified","scale_mode","calculated_scale_percent","applied_scale_percent","s_raw","artboards_before","visible_bounds_before","visible_width_before_pt","visible_height_before_pt","page_items_before","layers_before","stroke_widths_original","stroked_objects","stroke_widths_before_scale","stroke_widths_after_scale","stroke_mismatch_count","final_visible_bounds","final_visible_width_pt","final_visible_height_pt","final_center_x","final_center_y","final_artboard","layer_state_match","item_state_match","item_structure_match","item_geometry_match_after_reopen","ruler_units_pixels_after_reopen","output_ai","output_png","audit_json","comment"
"000_004_20260727_115903","0","1","OK","2026-07-27T11:59:06","Корпус 2.1/POZD_WEB_K2-1_s1_et1_1.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_1.png","309512","6149a7ad078252e799ed8ede5c764e817de1ddeb3b37127b78b056f81704e044","true","calculated","170","170","1.654498408","1","[146.748031,556.452756,696.233899,39.547244]","549.485868","516.905512","4718","16","[{""width_pt"":0.75,""count"":2185},{""width_pt"":1,""count"":138}]","2323","[{""width_pt"":0.75,""count"":2323}]","[{""width_pt"":0.75,""count"":2323}]","0","[133.396652,1038.894685,1066.603348,161.105315]","933.206696","877.78937","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et1_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et1_1.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\000_POZD_WEB_K2-1_s1_et1_1_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.654498408."
"000_004_20260727_115903","1","1","OK","2026-07-27T12:00:15","Корпус 2.1/POZD_WEB_K2-1_s1_et1_2.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_2.png","196408","90cb2108d321575974c4857fca5eab1a77ab474a69ee24946fa60d6eecf18d4a","true","calculated","170","170","1.808107942","1","[190.893701,556.452756,650.981299,39.547244]","460.087598","516.905512","2411","11","[{""width_pt"":0.75,""count"":1074},{""width_pt"":1,""count"":116}]","1190","[{""width_pt"":0.75,""count"":1190}]","[{""width_pt"":0.75,""count"":1190}]","0","[209.294291,1038.894685,990.705709,161.105315]","781.411418","877.78937","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et1_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et1_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\001_POZD_WEB_K2-1_s1_et1_2_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.808107942."
"000_004_20260727_115903","2","1","OK","2026-07-27T12:00:46","Корпус 2.1/POZD_WEB_K2-1_s1_et1_3.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_3.png","160679","4e1efd44189aa68771b5b7c632294c8778c0939d841524db8dbf12a5585c04b3","true","calculated","200","200","2.090973646","1","[190.893701,491.255898,650.981299,104.744102]","460.087598","386.511796","1676","11","[{""width_pt"":0.75,""count"":744},{""width_pt"":1,""count"":85}]","829","[{""width_pt"":0.75,""count"":829}]","[{""width_pt"":0.75,""count"":829}]","0","[140.412401,985.886797,1059.587599,214.113203]","919.175198","771.773594","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_3.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_3.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\002_POZD_WEB_K2-1_s1_et1_3_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=2.090973646."
"000_004_20260727_115903","3","1","OK","2026-07-27T12:01:14","Корпус 2.1/POZD_WEB_K2-1_s1_et1_4.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_4.png","158370","db4dea501b9b9326093440acc61a557b1c1b8200f246b81e2c885da0cb7f9566","true","calculated","200","200","2.075451799","1","[190.982198,494.307084,651.892801,102.692916]","460.910603","391.614168","1666","11","[{""width_pt"":0.75,""count"":742},{""width_pt"":1,""count"":83}]","825","[{""width_pt"":0.75,""count"":825}]","[{""width_pt"":0.75,""count"":825}]","0","[139.589397,990.989168,1060.410603,209.010832]","920.821206","781.978336","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_4.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_4.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\003_POZD_WEB_K2-1_s1_et1_4_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=2.075451799."
"000_004_20260727_115903","4","1","OK","2026-07-27T12:01:42","Корпус 2.1/POZD_WEB_K2-1_s1_et1_5.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_5.png","299838","40f9e5ba80dd64cce3baeff3c8bb498a74d661919059b2a0116159697019a17b","true","calculated","110","110","1.083748848","1","[-72.219311,525.260245,915.094311,70.841938]","987.313622","454.418307","4689","16","[{""width_pt"":0.75,""count"":2137},{""width_pt"":1,""count"":175}]","2312","[{""width_pt"":0.75,""count"":2312}]","[{""width_pt"":0.75,""count"":2312}]","0","[57.083758,849.836369,1142.916242,350.163631]","1085.832484","499.672738","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х110_POZD_WEB_K2-1_s1_et1_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х110_POZD_WEB_K2-1_s1_et1_5.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\004_POZD_WEB_K2-1_s1_et1_5_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.083748848."
"005_009_20260727_120316","5","1","OK","2026-07-27T12:03:16","Корпус 2.1/POZD_WEB_K2-1_s1_et1_6.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_6.png","246504","7652598056ffb78da27866f056800eada1a44715d948fdac729aae664632fae1","true","calculated","200","200","2.006270676","1","[171.560216,495.148542,671.314784,108.635125]","499.754568","386.513417","3253","15","[{""width_pt"":0.75,""count"":1510},{""width_pt"":1,""count"":91}]","1601","[{""width_pt"":0.75,""count"":1601}]","[{""width_pt"":0.75,""count"":1601}]","0","[100.745433,985.907886,1099.254567,214.092115]","998.509134","771.815771","600","600.000001","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_6.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_6.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\005_POZD_WEB_K2-1_s1_et1_6_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=2.006270676."
"005_009_20260727_120316","6","1","OK","2026-07-27T12:04:05","Корпус 2.1/POZD_WEB_K2-1_s1_et2,4_3.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2,4_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2,4_3.png","200532","49c9b429f2f4487bc24c40248a146107450b31fed9fb371c066caef90efc1d78","true","calculated","170","170","1.716429454","1","[190.893701,585.299215,650.981299,11.700785]","460.087598","573.59843","2454","10","[{""width_pt"":0.75,""count"":1090},{""width_pt"":1,""count"":124}]","1214","[{""width_pt"":0.75,""count"":1214}]","[{""width_pt"":0.75,""count"":1214}]","0","[209.294291,1087.083666,990.705709,112.916334]","781.411418","974.167332","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et2,4_3.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et2,4_3.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\006_POZD_WEB_K2-1_s1_et2,4_3_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.716429454."
"005_009_20260727_120316","7","1","OK","2026-07-27T12:04:35","Корпус 2.1/POZD_WEB_K2-1_s1_et2,4_5.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2,4_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2,4_5.png","227914","176394bf4dbb15783337be2cca2ed9441232e4f58182874b221963ef41b950ed","true","calculated","120","120","1.208480438","1","[-21.204725,525.271654,864.204725,70.853346]","885.40945","454.418308","3534","10","[{""width_pt"":0.75,""count"":1591},{""width_pt"":1,""count"":154}]","1745","[{""width_pt"":0.75,""count"":1745}]","[{""width_pt"":0.75,""count"":1745}]","0","[68.979331,872.500984,1131.020669,327.499016]","1062.041338","545.001968","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х120_POZD_WEB_K2-1_s1_et2,4_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х120_POZD_WEB_K2-1_s1_et2,4_5.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\007_POZD_WEB_K2-1_s1_et2,4_5_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.208480438."
"005_009_20260727_120316","8","1","OK","2026-07-27T12:05:18","Корпус 2.1/POZD_WEB_K2-1_s1_et2,6_4.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2,6_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2,6_4.png","160519","5ae2da643e0a175709d37dc7fc76cf0833e5e92c6431a11216ac3320a247a44f","true","calculated","200","200","2.075805242","1","[190.893701,494.090551,650.981299,101.909449]","460.087598","392.181102","1660","10","[{""width_pt"":0.75,""count"":738},{""width_pt"":1,""count"":86}]","824","[{""width_pt"":0.75,""count"":824}]","[{""width_pt"":0.75,""count"":824}]","0","[140.412401,991.556102,1059.587599,208.443898]","919.175198","783.112204","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et2,6_4.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et2,6_4.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\008_POZD_WEB_K2-1_s1_et2,6_4_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=2.075805242."
"005_009_20260727_120316","9","1","OK","2026-07-27T12:05:44","Корпус 2.1/POZD_WEB_K2-1_s1_et2_1.ai","Корпус 2.1","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2_1.png","196909","f08deaaa61016bc4f515cbb471b95abdd63137de0df0723e1303f320cf2b943b","true","calculated","170","170","1.783003009","1","[196.562991,570.484252,645.437009,25.640748]","448.874018","544.843504","2394","14","[{""width_pt"":0.75,""count"":1067},{""width_pt"":1,""count"":113}]","1180","[{""width_pt"":0.75,""count"":1180}]","[{""width_pt"":0.75,""count"":1180}]","0","[218.932085,1062.748228,981.067915,137.251772]","762.13583","925.496456","600","600","[{""index"":0,""name"":""Монтажная область 1"",""rect"":[0,1200,1200,0],""width"":1200,""height"":1200}]","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et2_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et2_1.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\009_POZD_WEB_K2-1_s1_et2_1_attempt1.json","Pixel-native AI подтверждён после повторного открытия; обводки 0.75 px; s_raw=1.783003009."
