"index","corpus","source_relpath","source_ai","reference_png","source_size_bytes","source_sha256_before","source_sha256_after","override_scale_percent","override_reason","status","applied_scale_percent","output_ai","output_png","output_ai_sha256","output_png_sha256","audit_json","attempts","last_error","preflight_status","preflight_visible_width","preflight_visible_height","preflight_s_raw","preflight_scale_percent","preflight_page_items","preflight_root_items","preflight_top_layers","preflight_total_layers","preflight_nested_layers","preflight_empty_layers","preflight_duplicate_sibling_names","preflight_max_layer_depth","preflight_error","verify_attempts"
"0","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et1_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_1.png","309512","6149a7ad078252e799ed8ede5c764e817de1ddeb3b37127b78b056f81704e044","6149a7ad078252e799ed8ede5c764e817de1ddeb3b37127b78b056f81704e044","","","OK","170","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et1_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et1_1.png","981c4b4145f532ede3117aeae16e4d630640a5c85c214087d38fc5a159731727","56841f90287c28d93348865ad3c4cb204986934eccff4f13df0682b597479105","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\000_POZD_WEB_K2-1_s1_et1_1_attempt1.json","1","","OK","549.485868","516.905512","1.654498408","170","4718","2304","16","16","0","0","0","0","","2"
"1","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et1_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_2.png","196408","90cb2108d321575974c4857fca5eab1a77ab474a69ee24946fa60d6eecf18d4a","90cb2108d321575974c4857fca5eab1a77ab474a69ee24946fa60d6eecf18d4a","","","OK","170","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et1_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et1_2.png","218d43539df398659e674550f8a4a1861a486377535f32b11f05fcfe9562562f","2d2921e8ba0a370a62b4136c6044620ff5801f5b56d8701ee83edd0dada7c5dd","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\001_POZD_WEB_K2-1_s1_et1_2_attempt1.json","1","","OK","460.087599","516.905512","1.80810794","170","2411","1166","11","11","0","0","0","0","","2"
"2","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et1_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_3.png","160679","4e1efd44189aa68771b5b7c632294c8778c0939d841524db8dbf12a5585c04b3","4e1efd44189aa68771b5b7c632294c8778c0939d841524db8dbf12a5585c04b3","","","OK","200","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_3.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_3.png","40441502a0b267e8567ea6b0507fcdafc546aac0448c65a0a06ef64cf47dcb87","dc970fa88a7f5962b676c5e54ceb1e7cd7bf89517ffbd4fa7a24de79e4efe648","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\002_POZD_WEB_K2-1_s1_et1_3_attempt1.json","1","","OK","460.087599","386.511797","2.090973641","200","1676","814","11","11","0","0","0","0","","2"
"3","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et1_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_4.png","158370","db4dea501b9b9326093440acc61a557b1c1b8200f246b81e2c885da0cb7f9566","db4dea501b9b9326093440acc61a557b1c1b8200f246b81e2c885da0cb7f9566","","","OK","200","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_4.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_4.png","d66b691a682578907ddb5edcd07a37f36b1432153754699981c792204a2fcfd6","b935d537ab84b2cfdfd08fe89876591aa75d6e0aa24e72d7fabc7f660a36c696","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\003_POZD_WEB_K2-1_s1_et1_4_attempt1.json","1","","OK","460.910603","391.614168","2.075451799","200","1666","813","11","11","0","0","0","0","","2"
"4","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et1_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_5.png","299838","40f9e5ba80dd64cce3baeff3c8bb498a74d661919059b2a0116159697019a17b","40f9e5ba80dd64cce3baeff3c8bb498a74d661919059b2a0116159697019a17b","","","OK","110","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х110_POZD_WEB_K2-1_s1_et1_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х110_POZD_WEB_K2-1_s1_et1_5.png","7aaad5342ad63b0ec67362f04df946a45a6f865bd24d4e4f7149dba82cc0018a","2890dab9fdc59fa54fb0db1b8b46cd010a1bfa87c59839df4082316926653cb1","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\004_POZD_WEB_K2-1_s1_et1_5_attempt1.json","1","","OK","987.313623","454.418307","1.083748846","110","4689","2287","16","16","0","0","0","0","","2"
"5","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et1_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_6.png","246504","7652598056ffb78da27866f056800eada1a44715d948fdac729aae664632fae1","7652598056ffb78da27866f056800eada1a44715d948fdac729aae664632fae1","","","OK","200","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_6.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_6.png","b76295580b8476241dadc5ed13dfaba7a8663dbb8a52dda0d42e424fa223ec75","6f1a5c2e19d44ec0ac6cc36654778ec304f4b2800fdfdc288b61a29afe28f67c","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\005_POZD_WEB_K2-1_s1_et1_6_attempt1.json","1","","OK","499.754567","386.513417","2.006270678","200","3253","1596","15","15","0","0","0","0","","2"
"6","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et2,4_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2,4_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2,4_3.png","200532","49c9b429f2f4487bc24c40248a146107450b31fed9fb371c066caef90efc1d78","49c9b429f2f4487bc24c40248a146107450b31fed9fb371c066caef90efc1d78","","","OK","170","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et2,4_3.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et2,4_3.png","7735ddacbe8dbafeb63f7924dea2ea0aae073e201e949b368ed970fcc3fa9505","b74de951b65ad22fccc27d4869c8236361a34105372303cedbd09bf0f818fd3e","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\006_POZD_WEB_K2-1_s1_et2,4_3_attempt1.json","1","","OK","460.087599","573.598431","1.716429451","170","2454","1191","10","10","0","0","0","0","","2"
"7","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et2,4_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2,4_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2,4_5.png","227914","176394bf4dbb15783337be2cca2ed9441232e4f58182874b221963ef41b950ed","176394bf4dbb15783337be2cca2ed9441232e4f58182874b221963ef41b950ed","","","OK","120","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х120_POZD_WEB_K2-1_s1_et2,4_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х120_POZD_WEB_K2-1_s1_et2,4_5.png","5d2b7b3cac54edae0e059b74776d64f0de06f9c7da0ce3564798aba2da22a71d","90e71eb31933019e8f2e05f6a6e3cf842ed1e4fa6ba15b2e63a905c92e812766","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\007_POZD_WEB_K2-1_s1_et2,4_5_attempt1.json","1","","OK","885.409449","454.418307","1.208480439","120","3534","1723","10","10","0","0","0","0","","2"
"8","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et2,6_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2,6_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2,6_4.png","160519","5ae2da643e0a175709d37dc7fc76cf0833e5e92c6431a11216ac3320a247a44f","5ae2da643e0a175709d37dc7fc76cf0833e5e92c6431a11216ac3320a247a44f","","","OK","200","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et2,6_4.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et2,6_4.png","6453fce57a5bd04542993f30404d4f1e7b0cb529bbe309d24a4f1ab25686101f","7c1d13bf24278748dad33d5c6b561b455a6cce0af12d5ec1b00ee2f5764a138b","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\008_POZD_WEB_K2-1_s1_et2,6_4_attempt1.json","1","","OK","460.087599","392.181102","2.075805239","200","1660","805","10","10","0","0","0","0","","2"
"9","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et2_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2_1.png","196909","f08deaaa61016bc4f515cbb471b95abdd63137de0df0723e1303f320cf2b943b","f08deaaa61016bc4f515cbb471b95abdd63137de0df0723e1303f320cf2b943b","","","OK","170","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et2_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et2_1.png","c1a5ebb1d16daf46fdb223a1dda1d5da712389c028408bef5dad09fe4614d092","4166e07dd2e1e9f93aab606ceddda2cc1e4f76b55b2a42bfed8dc2fbe3df36d1","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\009_POZD_WEB_K2-1_s1_et2_1_attempt1.json","1","","OK","448.874018","544.843504","1.783003009","170","2394","1160","14","14","0","0","0","0","","2"
