"index","corpus","source_relpath","source_ai","reference_png","source_size_bytes","source_sha256_before","source_sha256_after","override_scale_percent","override_reason","status","applied_scale_percent","output_ai","output_png","output_ai_sha256","output_png_sha256","audit_json","attempts","last_error"
"0","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et1_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_1.png","309512","6149a7ad078252e799ed8ede5c764e817de1ddeb3b37127b78b056f81704e044","","","","PENDING","","","","","","","0",""
"1","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et1_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_2.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_2.png","196408","90cb2108d321575974c4857fca5eab1a77ab474a69ee24946fa60d6eecf18d4a","","","","PENDING","","","","","","","0",""
"2","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et1_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_3.png","160679","4e1efd44189aa68771b5b7c632294c8778c0939d841524db8dbf12a5585c04b3","","","","PENDING","","","","","","","0",""
"3","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et1_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_4.png","158370","db4dea501b9b9326093440acc61a557b1c1b8200f246b81e2c885da0cb7f9566","","","","PENDING","","","","","","","0",""
"4","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et1_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_5.png","299838","40f9e5ba80dd64cce3baeff3c8bb498a74d661919059b2a0116159697019a17b","","","","PENDING","","","","","","","0",""
"5","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et1_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_6.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et1_6.png","246504","7652598056ffb78da27866f056800eada1a44715d948fdac729aae664632fae1","","","","PENDING","","","","","","","0",""
"6","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et2,4_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2,4_3.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2,4_3.png","200532","49c9b429f2f4487bc24c40248a146107450b31fed9fb371c066caef90efc1d78","","","","PENDING","","","","","","","0",""
"7","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et2,4_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2,4_5.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2,4_5.png","227914","176394bf4dbb15783337be2cca2ed9441232e4f58182874b221963ef41b950ed","","","","PENDING","","","","","","","0",""
"8","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et2,6_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2,6_4.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2,6_4.png","160519","5ae2da643e0a175709d37dc7fc76cf0833e5e92c6431a11216ac3320a247a44f","","","","PENDING","","","","","","","0",""
"9","Корпус 2.1","Корпус 2.1/POZD_WEB_K2-1_s1_et2_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2_1.ai","D:\AI\AITRASH\LIBRARY\02_CATALOG\02_PRESALE_Поздняково\01_ARTIFACTS\МКД2\Корпус 2.1\POZD_WEB_K2-1_s1_et2_1.png","196909","f08deaaa61016bc4f515cbb471b95abdd63137de0df0723e1303f320cf2b943b","","","","PENDING","","","","","","","0",""
