"batch_id","index","status","timestamp","source_relpath","expected_scale_percent","ai_opened","ruler_units_pixels","artboards","artboard_width","artboard_height","center_x","center_y","inside_artboard","stroke_count","stroke_mismatch_count","source_item_count","output_item_count","source_layer_count","output_layer_count","layer_signature_match","item_structure_match","item_state_match","color_space_match","names_match","output_ai","output_png","verify_audit","comment"
"195_214_20260727_142924","195","OK","2026-07-27T14:29:24","Корпус 2.2/POZD_WEB_K2-2_s7_et3,5_1.ai","170","true","true","1","1200","1200","600","600","true","937","0","1895","1895","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s7_et3,5_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s7_et3,5_1.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\195_POZD_WEB_K2-2_s7_et3,5_1_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"195_214_20260727_142924","196","OK","2026-07-27T14:29:27","Корпус 2.2/POZD_WEB_K2-2_s7_et3,5_3.ai","170","true","true","1","1200","1200","600","600","true","1203","0","2436","2436","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s7_et3,5_3.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s7_et3,5_3.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\196_POZD_WEB_K2-2_s7_et3,5_3_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"195_214_20260727_142924","197","OK","2026-07-27T14:29:30","Корпус 2.2/POZD_WEB_K2-2_s7_et3,5_4.ai","170","true","true","1","1200","1200","600","600","true","1223","0","2477","2477","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s7_et3,5_4.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s7_et3,5_4.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\197_POZD_WEB_K2-2_s7_et3,5_4_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"195_214_20260727_142924","198","OK","2026-07-27T14:29:33","Корпус 2.2/POZD_WEB_K2-2_s7_et3,5_5.ai","170","true","true","1","1200","1200","600","600","true","1290","0","2608","2608","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s7_et3,5_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s7_et3,5_5.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\198_POZD_WEB_K2-2_s7_et3,5_5_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"195_214_20260727_142924","199","OK","2026-07-27T14:29:36","Корпус 2.2/POZD_WEB_K2-2_s7_et3,5_6.ai","120","true","true","1","1200","1200","600","600","true","1691","0","3433","3433","11","11","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х120_POZD_WEB_K2-2_s7_et3,5_6.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х120_POZD_WEB_K2-2_s7_et3,5_6.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\199_POZD_WEB_K2-2_s7_et3,5_6_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"195_214_20260727_142924","200","OK","2026-07-27T14:29:40","Корпус 2.2/POZD_WEB_K2-2_s7_et3,6_2.ai","170","true","true","1","1200","1200","600","600","true","939","0","1903","1903","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s7_et3,6_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s7_et3,6_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\200_POZD_WEB_K2-2_s7_et3,6_2_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"195_214_20260727_142924","201","OK","2026-07-27T14:29:43","Корпус 2.2/POZD_WEB_K2-2_s7_et4_2.ai","170","true","true","1","1200","1200","600","600","true","958","0","1949","1949","11","11","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s7_et4_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s7_et4_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\201_POZD_WEB_K2-2_s7_et4_2_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"195_214_20260727_142924","202","OK","2026-07-27T14:29:46","Корпус 2.2/POZD_WEB_K2-2_s7_et4_3.ai","170","true","true","1","1200","1200","600","600.000001","true","1208","0","2448","2448","11","11","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s7_et4_3.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s7_et4_3.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\202_POZD_WEB_K2-2_s7_et4_3_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"195_214_20260727_142924","203","OK","2026-07-27T14:29:49","Корпус 2.2/POZD_WEB_K2-2_s7_et4_4.ai","170","true","true","1","1200","1200","600","600","true","1213","0","2454","2454","10","10","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s7_et4_4.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s7_et4_4.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\203_POZD_WEB_K2-2_s7_et4_4_verify_attempt1.json","Независимая read-only проверка AI пройдена."
"195_214_20260727_142924","204","OK","2026-07-27T14:29:52","Корпус 2.2/POZD_WEB_K2-2_s7_et4_5.ai","170","true","true","1","1200","1200","600","600","true","1282","0","2595","2595","11","11","true","true","true","true","true","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s7_et4_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.2\х170_POZD_WEB_K2-2_s7_et4_5.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\204_POZD_WEB_K2-2_s7_et4_5_verify_attempt1.json","Независимая read-only проверка AI пройдена."
