"batch_id","index","status","source_relpath","applied_scale_percent","illustrator_status","ruler_units_pixels","artboards","artboard_width","artboard_height","center_x","center_y","inside_artboard","stroke_count","stroke_mismatch_count","source_item_count","output_item_count","source_layer_count","output_layer_count","layer_signature_match","item_structure_match","item_state_match","color_space_match","names_match","pdf_compatible","png_width","png_height","png_has_alpha","png_transparent_pixels","png_nontransparent_pixels","png_corners_transparent","png_no_opaque_white_rectangle","source_hash_match","output_ai_hash_match","output_png_hash_match","output_ai","output_png","process_audit","verify_audit","comment"
"337_357_20260727_160439","337","OK","Корпус 2.3/POZD_WEB_K2-3_s8_et1_5.ai","200","OK","true","1","1200","1200","600","600","true","891","0","1809","1809","10","10","true","true","true","true","true","True","1200","1200","True","840238","599762","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et1_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et1_5.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\337_POZD_WEB_K2-3_s8_et1_5_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\337_POZD_WEB_K2-3_s8_et1_5_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"337_357_20260727_160439","338","OK","Корпус 2.3/POZD_WEB_K2-3_s8_et1_6.ai","200","OK","true","1","1200","1200","600","600","true","900","0","1813","1813","10","10","true","true","true","true","true","True","1200","1200","True","821615","618385","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et1_6.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et1_6.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\338_POZD_WEB_K2-3_s8_et1_6_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\338_POZD_WEB_K2-3_s8_et1_6_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"337_357_20260727_160439","339","OK","Корпус 2.3/POZD_WEB_K2-3_s8_et1_8.ai","150","OK","true","1","1200","1200","600","600","true","1420","0","2877","2877","10","10","true","true","true","true","true","True","1200","1200","True","774235","665765","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х150_POZD_WEB_K2-3_s8_et1_8.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х150_POZD_WEB_K2-3_s8_et1_8.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\339_POZD_WEB_K2-3_s8_et1_8_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\339_POZD_WEB_K2-3_s8_et1_8_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"337_357_20260727_160439","340","OK","Корпус 2.3/POZD_WEB_K2-3_s8_et1_9.ai","170","OK","true","1","1200","1200","600","600","true","1298","0","2633","2633","10","10","true","true","true","true","true","True","1200","1200","True","794772","645228","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s8_et1_9.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s8_et1_9.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\340_POZD_WEB_K2-3_s8_et1_9_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\340_POZD_WEB_K2-3_s8_et1_9_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"337_357_20260727_160439","341","OK","Корпус 2.3/POZD_WEB_K2-3_s8_et2,3,4_11.ai","200","OK","true","1","1200","1200","600","600","true","774","0","1562","1562","10","10","true","true","true","true","true","True","1200","1200","True","931606","508394","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et2,3,4_11.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et2,3,4_11.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\341_POZD_WEB_K2-3_s8_et2,3,4_11_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\341_POZD_WEB_K2-3_s8_et2,3,4_11_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"337_357_20260727_160439","342","OK","Корпус 2.3/POZD_WEB_K2-3_s8_et2,4_2.ai","200","OK","true","1","1200","1200","600","600","true","862","0","1736","1736","10","10","true","true","true","true","true","True","1200","1200","True","841154","598846","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et2,4_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et2,4_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\342_POZD_WEB_K2-3_s8_et2,4_2_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\342_POZD_WEB_K2-3_s8_et2,4_2_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"337_357_20260727_160439","343","OK","Корпус 2.3/POZD_WEB_K2-3_s8_et2,4_6.ai","170","OK","true","1","1200","1200","600","600","true","1195","0","2414","2414","10","10","true","true","true","true","true","True","1200","1200","True","776772","663228","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s8_et2,4_6.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s8_et2,4_6.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\343_POZD_WEB_K2-3_s8_et2,4_6_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\343_POZD_WEB_K2-3_s8_et2,4_6_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"337_357_20260727_160439","344","OK","Корпус 2.3/POZD_WEB_K2-3_s8_et2_1.ai","170","OK","true","1","1200","1200","600","600","true","1265","0","2566","2566","10","10","true","true","true","true","true","True","1200","1200","True","700324","739676","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s8_et2_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s8_et2_1.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\344_POZD_WEB_K2-3_s8_et2_1_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\344_POZD_WEB_K2-3_s8_et2_1_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"337_357_20260727_160439","345","OK","Корпус 2.3/POZD_WEB_K2-3_s8_et2_10.ai","170","OK","true","1","1200","1200","600","600","true","1284","0","2605","2605","11","11","true","true","true","true","true","True","1200","1200","True","782909","657091","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s8_et2_10.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х170_POZD_WEB_K2-3_s8_et2_10.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\345_POZD_WEB_K2-3_s8_et2_10_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\345_POZD_WEB_K2-3_s8_et2_10_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"337_357_20260727_160439","346","OK","Корпус 2.3/POZD_WEB_K2-3_s8_et2_2.ai","200","OK","true","1","1200","1200","600","600","true","864","0","1744","1744","10","10","true","true","true","true","true","True","1200","1200","True","840331","599669","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et2_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.3\х200_POZD_WEB_K2-3_s8_et2_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\346_POZD_WEB_K2-3_s8_et2_2_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\346_POZD_WEB_K2-3_s8_et2_2_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
