"batch_id","index","status","source_relpath","applied_scale_percent","illustrator_status","ruler_units_pixels","artboards","artboard_width","artboard_height","center_x","center_y","inside_artboard","stroke_count","stroke_mismatch_count","source_item_count","output_item_count","source_layer_count","output_layer_count","layer_signature_match","item_structure_match","item_state_match","color_space_match","names_match","pdf_compatible","png_width","png_height","png_has_alpha","png_transparent_pixels","png_nontransparent_pixels","png_corners_transparent","png_no_opaque_white_rectangle","source_hash_match","output_ai_hash_match","output_png_hash_match","output_ai","output_png","process_audit","verify_audit","comment"
"000_000_20260727_163527","0","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et1_1.ai","170","OK","true","1","1200","1200","600","600","true","2323","0","4718","4718","16","16","true","true","true","true","true","True","1200","1200","True","700414","739586","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et1_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et1_1.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\000_POZD_WEB_K2-1_s1_et1_1_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\000_POZD_WEB_K2-1_s1_et1_1_verify_attempt2.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"000_004_20260727_120253","0","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et1_1.ai","170","OK","true","1","1200","1200","600","600","true","2323","0","4718","4718","16","16","true","true","true","true","true","True","1200","1200","True","700414","739586","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et1_1.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et1_1.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\000_POZD_WEB_K2-1_s1_et1_1_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\000_POZD_WEB_K2-1_s1_et1_1_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"000_004_20260727_120253","1","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et1_2.ai","170","OK","true","1","1200","1200","600","600","true","1190","0","2411","2411","11","11","true","true","true","true","true","True","1200","1200","True","828081","611919","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et1_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et1_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\001_POZD_WEB_K2-1_s1_et1_2_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\001_POZD_WEB_K2-1_s1_et1_2_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"000_004_20260727_120253","2","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et1_3.ai","200","OK","true","1","1200","1200","600","600","true","829","0","1676","1676","11","11","true","true","true","true","true","True","1200","1200","True","895409","544591","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_3.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_3.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\002_POZD_WEB_K2-1_s1_et1_3_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\002_POZD_WEB_K2-1_s1_et1_3_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"000_004_20260727_120253","3","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et1_4.ai","200","OK","true","1","1200","1200","600","600","true","825","0","1666","1666","11","11","true","true","true","true","true","True","1200","1200","True","932064","507936","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_4.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_4.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\003_POZD_WEB_K2-1_s1_et1_4_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\003_POZD_WEB_K2-1_s1_et1_4_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"000_004_20260727_120253","4","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et1_5.ai","110","OK","true","1","1200","1200","600","600","true","2312","0","4689","4689","16","16","true","true","true","true","true","True","1200","1200","True","1032139","407861","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х110_POZD_WEB_K2-1_s1_et1_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х110_POZD_WEB_K2-1_s1_et1_5.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\004_POZD_WEB_K2-1_s1_et1_5_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\004_POZD_WEB_K2-1_s1_et1_5_verify_attempt1.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"001_001_20260727_163944","1","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et1_2.ai","170","OK","true","1","1200","1200","600","600","true","1190","0","2411","2411","11","11","true","true","true","true","true","True","1200","1200","True","828081","611919","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et1_2.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х170_POZD_WEB_K2-1_s1_et1_2.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\001_POZD_WEB_K2-1_s1_et1_2_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\001_POZD_WEB_K2-1_s1_et1_2_verify_attempt2.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"002_026_20260727_164026","2","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et1_3.ai","200","OK","true","1","1200","1200","600","600","true","829","0","1676","1676","11","11","true","true","true","true","true","True","1200","1200","True","895409","544591","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_3.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_3.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\002_POZD_WEB_K2-1_s1_et1_3_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\002_POZD_WEB_K2-1_s1_et1_3_verify_attempt2.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"002_026_20260727_164026","3","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et1_4.ai","200","OK","true","1","1200","1200","600","600","true","825","0","1666","1666","11","11","true","true","true","true","true","True","1200","1200","True","932064","507936","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_4.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х200_POZD_WEB_K2-1_s1_et1_4.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\003_POZD_WEB_K2-1_s1_et1_4_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\003_POZD_WEB_K2-1_s1_et1_4_verify_attempt2.json","Независимая проверка AI/PNG/SHA-256 пройдена."
"002_026_20260727_164026","4","OK","Корпус 2.1/POZD_WEB_K2-1_s1_et1_5.ai","110","OK","true","1","1200","1200","600","600","true","2312","0","4689","4689","16","16","true","true","true","true","true","True","1200","1200","True","1032139","407861","True","True","True","True","True","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х110_POZD_WEB_K2-1_s1_et1_5.ai","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_full_wip\20260727_full_mkd2\Корпус 2.1\х110_POZD_WEB_K2-1_s1_et1_5.png","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\details\004_POZD_WEB_K2-1_s1_et1_5_attempt1.json","D:\AI\AITRASH\workspaces\project - Изменение масштаба для планировок квартир\09_outputs\_diagnostics\full_20260727_full_mkd2\verify_details\004_POZD_WEB_K2-1_s1_et1_5_verify_attempt2.json","Независимая проверка AI/PNG/SHA-256 пройдена."
